appid,name,genres,tags,release_date,is_free,short_description
3306950,Runes of Legend,Massively Multiplayer|RPG|Free To Play,Free to Play|Pixel Graphics|Massively Multiplayer|RPG|Clicker|MMORPG|Fantasy|Magic|Combat|Multiplayer,"Nov 25, 2024",True,Runes of Legend is an immersive pixel adventure game set in a captivating fantasy world filled with mystery and magic. You can step into the role of a courageous adventurer tasked with exploring a once-peaceful land now threatened by the resurgence of dark forces.
964100,A meadow Piece,Casual|Indie|Simulation|Strategy,Casual|Simulation|Strategy|Indie,"Mar 7, 2019",False,"This is a meadow simulator with slightly different flowers. Either just watch the flowers grow. Or defend yourself against strange aliens. Actively intervene in the development of the meadow. Play with your friends, either as a team or against each other."
2822720,Echoes of Extinction,Action|Adventure|Indie|Massively Multiplayer|RPG|Simulation|Early Access,Early Access|Dinosaurs|Survival|Action|Adventure|Simulation|Multiplayer|PvP|Exploration|Building|Crafting|Hunting|Base Building|Cinematic|Action-Adventure|Third Person|Horror|Psychological Horror|Survival Horror|Open World,To be announced,False,"Open World Prehistoric Horror Survival set on a mysterious island inhabited by dinosaurs and tribal humans. Survival is a test of resilience and adaptability. Players must carve their path in this challenging world, competing for territory, resources and ultimately, their own survival."
3570420,Little Rocket Lab Playtest,,RPG|Automation|Building|Crafting|Adventure|Science|Sandbox|Female Protagonist|2D|Cute|Relaxing|Life Sim|Story Rich|Colorful|Pixel Graphics|Logic|Strategy RPG|Simulation|Exploration|Singleplayer,"Mar 6, 2025",False,
2471060,DIVINE SHOCK,Action|Indie|RPG|Early Access,Action|Roguelike|Action Roguelike|First-Person|Singleplayer|Perma Death|Spectacle fighter|Hack and Slash|Roguelite|Indie|Colorful|PvE|Loot|Action RPG|RPG|CRPG|Stylized|Magic|Fantasy|Early Access,"Sep 22, 2023",False,"Swing, smash, and combo your way through the dead. DIVINE SHOCK is an infinitely scaling first-person rogue-lite, where you are a Paladin, standing between the dead and the mortal realm."
2226150,Table Party,Casual|Indie|Strategy,Casual|Strategy|Board Game|Card Game|eSports|3D Fighter|3D Platformer|Card Battler|Puzzle Platformer|Solitaire|Trading Card Game|Turn-Based Tactics|3D|Cartoony|Cute|Family Friendly|Fantasy|Funny|Futuristic|Tabletop,"Mar 17, 2025",False,Hello our Mates! Welcome to the Boardgame World✨ Connect with the world for a fun competition! 𝗧𝗮𝗯𝗹𝗲 𝗣𝗮𝗿𝘁𝘆 is an ultimate VR board game that recreates the classic charm of board games in a more immersive way in virtual reality. Play with your friends and family and enjoy a fun game night.
1718040,Clarence Goes to the F&#%ING Store,Adventure,Choose Your Own Adventure|Dark Comedy|Visual Novel|Funny|Choices Matter|Adventure|Multiple Endings|Casual|Point & Click|2D|Hand-drawn|Comedy|Violent|Cartoon|Memes|Singleplayer,"Sep 2, 2021",False,"An absurdist comedy choose-your-own-adventure game featuring a massive cast of bizarre characters, notebook-doodle visuals, and 7 crazy endings! As you embark on your quest to go to the store, the denizens of this zany town will seek your help with their insane problems."
1020830,Something is wrong/有毛病,Casual|Indie|RPG|Simulation|Strategy|Early Access,Casual|Early Access|RPG|Indie|Strategy|Simulation,"Feb 14, 2019",False,这是一个解谜向的剧情游戏，你作为入侵地球的外星生物，被指派来收集人类情感，你将寄居在有不同毛病的人类脑子里，通过简单地控制人类行动和选择，来完成一个个非常简单的任务。宿主可能会不听你的话，或许有的时候你应该顺着他们的情绪...
1480060,Poly Gangs,Action|Indie|Simulation,Open World|Action|Visual Novel|3D|Character Action Game|Action-Adventure|Heist|Investigation|Fighting|Shooter|Colorful|Comic Book|Cartoony|Stylized|Simulation|America|Dark Comedy|Dark Humor|Destruction|Old School,Coming soon,False,PolyGangs: A Sandbox LowPolly-style action game. Gangster simulator in a Polish city from the 90s. The game is in a fictional city where gang wars are common and the police always start shooting first. Meet Szczepan and his story.
2781470,The Killing Stone,Casual|Indie|Strategy,Card Battler|Card Game|Story Rich|Strategy|Horror|Dark|Stylized|Casual|Dynamic Narration|Deckbuilding|First-Person|Atmospheric|3D|Psychological Horror|Psychological|Narration|Demons|Multiple Endings|Dark Fantasy|Philosophical,Coming soon,False,Beat the Devil at his own game. The Killing Stone is a deckbuilding card battler wrapped in a 17th century folk horror narrative. Clean the sins of a cursed family by bargaining against a series of demons - and outwitting the Devil himself.
2501590,Squeebing Up the Tower of Friendship,Adventure|Casual|Indie|Racing|Sports,3D Platformer|Online Co-Op|Difficult|Precision Platformer|Platformer|Indie|Third Person|Adventure|Psychological Horror|Exploration|3D|Surreal|Colorful|Realistic|Racing|Physics|Open World|Co-op|Psychedelic|Parkour,"Nov 9, 2023",False,"Can you make it to the top of the Tower of Friendship? Run, jump, climb, fall, and then do it all again. Play by yourself or with your friends. Be nice and lay down to make jumps easier for others, or push each other off when the falls are the highest. But whatever you do, never stop squeebing."
1135890,伊始之战,Adventure|Casual|Indie|RPG|Strategy,Indie|JRPG|RPGMaker|RPG|Pixel Graphics|Anime|Cartoony|Adventure|Medieval|Fantasy|Magic|Dungeon Crawler|Cartoon|Turn-Based Strategy|Turn-Based Tactics|2D Platformer|2D|Strategy|Casual|Open World,"Dec 7, 2021",False,"The demon seal is about to be broken, and the world is in danger. Gather your teammates to find all the strength to break the seal tower and seal the demon again to save the world crisis. Adventure on the vast beginning continent, hiring, exploring, planting, alchemy and other games."
3936940,Everhome,Casual|Simulation,Relaxing|Casual|Building|Sandbox|Management|Simulation|Emotional|Story Rich|Family Friendly|Cozy|Atmospheric|Stylized|Hand-drawn|Design & Illustration|City Builder|Life Sim|Immersive Sim|Isometric|Cute|Singleplayer,Q1 2026,False,"Become a sky architect in this relaxing, cozy, building and management sim. Meet charming characters and design unique houses just for them! Go shopping for new decorations, renovate their homes and discover the keys to their hearts."
